fixture_id,group_name,kickoff_utc,home_team,away_team,status,home_score,away_score,stage,source,source_match_id,venue,updated_at
537327,A,2026-06-11T19:00:00Z,Mexico,South Africa,FINISHED,2.0,0.0,group,football-data.org,537327,,2026-06-22T18:34:20.991497+00:00
537328,A,2026-06-12T02:00:00Z,South Korea,Czech Republic,FINISHED,2.0,1.0,group,football-data.org,537328,,2026-06-22T18:34:20.992047+00:00
537333,B,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,FINISHED,1.0,1.0,group,football-data.org,537333,,2026-06-22T18:34:20.992555+00:00
537345,D,2026-06-13T01:00:00Z,United States,Paraguay,FINISHED,4.0,1.0,group,football-data.org,537345,,2026-06-22T18:34:20.993062+00:00
537334,B,2026-06-13T19:00:00Z,Qatar,Switzerland,FINISHED,1.0,1.0,group,football-data.org,537334,,2026-06-22T18:34:20.993534+00:00
537339,C,2026-06-13T22:00:00Z,Brazil,Morocco,FINISHED,1.0,1.0,group,football-data.org,537339,,2026-06-22T18:34:20.994026+00:00
537340,C,2026-06-14T01:00:00Z,Haiti,Scotland,FINISHED,0.0,1.0,group,football-data.org,537340,,2026-06-22T18:34:20.994495+00:00
537346,D,2026-06-14T04:00:00Z,Australia,Turkey,FINISHED,2.0,0.0,group,football-data.org,537346,,2026-06-22T18:34:20.994986+00:00
537351,E,2026-06-14T17:00:00Z,Germany,Curaçao,FINISHED,7.0,1.0,group,football-data.org,537351,,2026-06-22T18:34:20.995464+00:00
537357,F,2026-06-14T20:00:00Z,Netherlands,Japan,FINISHED,2.0,2.0,group,football-data.org,537357,,2026-06-22T18:34:20.995944+00:00
537352,E,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,FINISHED,1.0,0.0,group,football-data.org,537352,,2026-06-22T18:34:20.996417+00:00
537358,F,2026-06-15T02:00:00Z,Sweden,Tunisia,FINISHED,5.0,1.0,group,football-data.org,537358,,2026-06-22T18:34:20.996885+00:00
66456994,H,2026-06-15T16:00:00Z,Spain,Cape Verde,SCHEDULED,,,group,FIFA published schedule snapshot,,,2026-06-13T00:20:00Z
537369,H,2026-06-15T16:00:00Z,Spain,Cape Verde Islands,FINISHED,0.0,0.0,group,football-data.org,537369,,2026-06-22T18:34:20.997373+00:00
537363,G,2026-06-15T19:00:00Z,Belgium,Egypt,FINISHED,1.0,1.0,group,football-data.org,537363,,2026-06-22T18:34:20.997839+00:00
537370,H,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,FINISHED,1.0,1.0,group,football-data.org,537370,,2026-06-22T18:34:20.998329+00:00
537364,G,2026-06-16T01:00:00Z,Iran,New Zealand,FINISHED,2.0,2.0,group,football-data.org,537364,,2026-06-22T18:34:20.998789+00:00
537391,I,2026-06-16T19:00:00Z,France,Senegal,FINISHED,3.0,1.0,group,football-data.org,537391,,2026-06-22T18:34:20.999284+00:00
537392,I,2026-06-16T22:00:00Z,Iraq,Norway,FINISHED,1.0,4.0,group,football-data.org,537392,,2026-06-22T18:34:20.999742+00:00
537397,J,2026-06-17T01:00:00Z,Argentina,Algeria,FINISHED,3.0,0.0,group,football-data.org,537397,,2026-06-22T18:34:21.000228+00:00
537398,J,2026-06-17T04:00:00Z,Austria,Jordan,FINISHED,3.0,1.0,group,football-data.org,537398,,2026-06-22T18:34:21.000682+00:00
537403,K,2026-06-17T17:00:00Z,Portugal,DR Congo,FINISHED,1.0,1.0,group,football-data.org,537403,,2026-06-22T18:34:21.001191+00:00
537409,L,2026-06-17T20:00:00Z,England,Croatia,FINISHED,4.0,2.0,group,football-data.org,537409,,2026-06-22T18:34:21.001652+00:00
537410,L,2026-06-17T23:00:00Z,Ghana,Panama,FINISHED,1.0,0.0,group,football-data.org,537410,,2026-06-22T18:34:21.002136+00:00
537404,K,2026-06-18T02:00:00Z,Uzbekistan,Colombia,FINISHED,1.0,3.0,group,football-data.org,537404,,2026-06-22T18:34:21.002594+00:00
537329,A,2026-06-18T16:00:00Z,Czech Republic,South Africa,FINISHED,1.0,1.0,group,football-data.org,537329,,2026-06-22T18:34:21.003077+00:00
537335,B,2026-06-18T19:00:00Z,Switzerland,Bosnia and Herzegovina,FINISHED,4.0,1.0,group,football-data.org,537335,,2026-06-22T18:34:21.003541+00:00
537336,B,2026-06-18T22:00:00Z,Canada,Qatar,FINISHED,6.0,0.0,group,football-data.org,537336,,2026-06-22T18:34:21.004025+00:00
537330,A,2026-06-19T01:00:00Z,Mexico,South Korea,FINISHED,1.0,0.0,group,football-data.org,537330,,2026-06-22T18:34:21.004487+00:00
537348,D,2026-06-19T19:00:00Z,United States,Australia,FINISHED,2.0,0.0,group,football-data.org,537348,,2026-06-22T18:34:21.004973+00:00
537342,C,2026-06-19T22:00:00Z,Scotland,Morocco,FINISHED,0.0,1.0,group,football-data.org,537342,,2026-06-22T18:34:21.005429+00:00
537341,C,2026-06-20T00:30:00Z,Brazil,Haiti,FINISHED,3.0,0.0,group,football-data.org,537341,,2026-06-22T18:34:21.005890+00:00
537347,D,2026-06-20T03:00:00Z,Turkey,Paraguay,FINISHED,0.0,1.0,group,football-data.org,537347,,2026-06-22T18:34:21.006377+00:00
537359,F,2026-06-20T17:00:00Z,Netherlands,Sweden,FINISHED,5.0,1.0,group,football-data.org,537359,,2026-06-22T18:34:21.006832+00:00
537353,E,2026-06-20T20:00:00Z,Germany,Ivory Coast,FINISHED,2.0,1.0,group,football-data.org,537353,,2026-06-22T18:34:21.007317+00:00
